,Unnamed: 0,Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Driving_Experience,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
16666,21367,200501PL60181,1,9,0.0,18,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,56.171436800880315,23.994136011749042,1796.0,1.0,4.0,,
5230,6529,200501EO41382,1,8,0.0,5,0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,73.17143680088031,33.99413601174904,2664.0,2.0,4.0,9.0,1.0
13789,17668,200501LX50098,1,3,0.0,9,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,47.171436800880315,23.994136011749042,85.0,1.0,18.0,4.0,1.0
36154,46456,200501ZD30775,2,5,0.0,14,0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,1,42.171436800880315,18.994136011749042,599.0,1.0,4.0,3.0,1.0
31575,40479,200501XD80754,1,11,0.0,18,0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1,75.17143680088031,33.99413601174904,,2.0,6.0,4.0,1.0
25811,33213,200501TE00053,1,9,0.0,5,0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1,43.171436800880315,18.994136011749042,,,,,
20366,26145,200501QK50522,1,9,0.0,3,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,39.171436800880315,13.994136011749042,1339.0,1.0,,4.0,1.0
17648,22630,200501PL61041,2,11,0.0,5,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,47.171436800880315,23.994136011749042,,,,3.0,1.0
1880,2284,200501CW10417,1,11,0.0,18,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,69.17143680088031,33.99413601174904,7300.0,2.0,2.0,1.0,1.0
22042,28246,200501RY10075,1,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,49.171436800880315,23.994136011749042,,,,,
8325,10548,200501HT20800,1,5,0.0,9,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,76.17143680088031,33.99413601174904,647.0,1.0,,,
29595,37890,200501WW50031,1,9,0.0,7,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,2,86.17143680088031,38.99413601174904,1991.0,1.0,7.0,5.0,1.0
25628,32990,200501TD00189,1,9,0.0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1,55.171436800880315,23.994136011749042,1392.0,1.0,9.0,5.0,1.0
2458,2996,200501CW10930,2,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,2,48.171436800880315,23.994136011749042,,,,,
15383,19715,200501MM70334,1,9,0.0,18,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,77.17143680088031,38.99413601174904,,,,,
31397,40246,200501XD80616,2,9,0.0,16,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,73.17143680088031,33.99413601174904,1994.0,1.0,8.0,1.0,1.0
33589,43050,200501YE80343,2,9,0.0,11,0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,15.0,1,56.171436800880315,23.994136011749042,,,,,
6881,8636,200501GD10596,1,3,0.0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,51.171436800880315,23.994136011749042,124.0,1.0,3.0,2.0,1.0
38427,49176,2005030001070,2,8,0.0,18,0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1,80.17143680088031,38.99413601174904,,,,4.0,1.0
19849,25444,200501QK50091,1,3,0.0,13,0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,15.0,1,38.171436800880315,13.994136011749042,125.0,1.0,5.0,3.0,1.0
19979,25619,200501QK50198,2,1,0.0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,35.171436800880315,8.994136011749042,,,,5.0,1.0
295,349,200501BS70199,2,19,0.0,18,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,72.17143680088031,33.99413601174904,,,,3.0,1.0
420,502,200501BS70291,1,9,0.0,7,0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,1,66.17143680088031,28.994136011749042,2598.0,1.0,10.0,9.0,1.0
23111,29624,200501SX20217,1,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,61.171436800880315,28.994136011749042,1598.0,1.0,7.0,7.0,3.0
24797,31858,200501TB00238,1,9,0.0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1,40.171436800880315,13.994136011749042,1342.0,1.0,18.0,9.0,1.0
23465,30102,200501SX20519,2,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,2,78.17143680088031,38.99413601174904,1600.0,1.0,6.0,7.0,1.0
21011,26963,200501RG40147,1,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,49.171436800880315,23.994136011749042,1389.0,1.0,11.0,2.0,1.0
498,607,200501BS70350,1,19,0.0,9,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,57.171436800880315,28.994136011749042,2402.0,2.0,,,
13535,17329,200501KG70473,1,9,0.0,4,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,2,52.171436800880315,23.994136011749042,,,,1.0,1.0
23872,30637,200501SX20852,1,9,0.0,5,0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,64.17143680088031,28.994136011749042,1996.0,1.0,9.0,,
23158,29677,200501SX20245,1,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,83.17143680088031,38.99413601174904,1905.0,2.0,8.0,7.0,1.0
21891,28051,200501RG40854,1,9,0.0,6,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,44.171436800880315,18.994136011749042,,,,5.0,1.0
35149,45154,200501YR90585,2,1,0.0,18,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,55.171436800880315,23.994136011749042,,,,2.0,1.0
23306,29898,200501SX20390,1,1,0.0,5,0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,56.171436800880315,23.994136011749042,,,,6.0,1.0
24582,31573,200501TB00029,2,9,0.0,7,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1,59.171436800880315,28.994136011749042,1994.0,1.0,9.0,2.0,1.0
32072,41138,200501XH00013,2,9,0.0,7,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,41.171436800880315,13.994136011749042,1597.0,1.0,10.0,10.0,1.0
13591,17405,200501KG70523,1,9,0.0,3,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,69.17143680088031,33.99413601174904,,,,7.0,1.0
16041,20551,200501MM70961,2,1,0.0,11,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,2,51.171436800880315,23.994136011749042,,,,,
5894,7363,200501FH10369,1,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,2,46.171436800880315,18.994136011749042,1124.0,1.0,3.0,2.0,1.0
32772,42009,200501XH30515,2,9,0.0,3,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,67.17143680088031,33.99413601174904,,,,4.0,1.0
28586,36631,200501VK30276,1,9,0.0,3,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,64.17143680088031,28.994136011749042,2597.0,1.0,3.0,10.0,1.0
13682,17522,200501KG70609,1,9,0.0,12,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,51.171436800880315,23.994136011749042,988.0,1.0,13.0,3.0,1.0
8478,10761,200501ID00004,2,9,0.0,3,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,57.171436800880315,28.994136011749042,1998.0,2.0,7.0,5.0,2.0
5486,6848,200501FH10038,1,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,53.171436800880315,23.994136011749042,1595.0,1.0,4.0,,
36524,46945,200501ZD31096,1,9,0.0,9,0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,2,59.171436800880315,28.994136011749042,1598.0,1.0,3.0,7.0,1.0
17990,23063,200501PY20230,1,90,0.0,16,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1,48.171436800880315,23.994136011749042,2689.0,2.0,2.0,9.0,1.0
725,885,200501BS70521,1,9,0.0,18,0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,1,62.171436800880315,28.994136011749042,1762.0,1.0,7.0,5.0,1.0
1360,1677,200501CP00223,1,1,0.0,18,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,57.171436800880315,28.994136011749042,,,,4.0,1.0
38280,49020,2005030000857,1,9,0.0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1,41.171436800880315,13.994136011749042,1389.0,1.0,11.0,9.0,2.0
3231,3995,200501CW11772,1,9,0.0,3,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,59.171436800880315,28.994136011749042,,,,4.0,1.0
9594,12243,200501JC39094,1,9,0.0,9,0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,54.171436800880315,23.994136011749042,998.0,1.0,5.0,3.0,1.0
22409,28703,200501RY10381,1,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,54.171436800880315,23.994136011749042,1360.0,1.0,6.0,4.0,1.0
382,455,200501BS70264,1,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,1,55.171436800880315,23.994136011749042,1747.0,1.0,9.0,4.0,1.0
32976,42255,200501XH30661,2,11,0.0,18,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,54.171436800880315,23.994136011749042,5883.0,2.0,4.0,2.0,1.0
15353,19681,200501MM70297,2,3,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,44.171436800880315,18.994136011749042,125.0,1.0,2.0,7.0,1.0
27076,34778,200501TX20033,1,9,0.0,18,0,8.0,0.0,0.0,1.0,0.0,3.0,1.0,15.0,2,52.171436800880315,23.994136011749042,998.0,1.0,1.0,5.0,1.0
9720,12399,200501JI40097,2,11,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,79.17143680088031,38.99413601174904,,2.0,5.0,,
9979,12740,200501JI40312,1,9,0.0,18,0,1.0,0.0,4.0,7.0,10.0,1.0,1.0,15.0,1,46.171436800880315,18.994136011749042,1242.0,1.0,7.0,6.0,1.0
22156,28386,200501RY10172,1,3,0.0,18,0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1,48.171436800880315,23.994136011749042,124.0,1.0,,2.0,1.0
18888,24187,200501PY20990,3,9,0.0,18,0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1,56.171436800880315,23.994136011749042,1598.0,1.0,8.0,2.0,1.0
5232,6531,200501EO41383,1,11,0.0,4,0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,71.17143680088031,33.99413601174904,,2.0,6.0,1.0,1.0
11893,15154,200501KF60016,1,9,0.0,18,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,67.17143680088031,33.99413601174904,1995.0,2.0,3.0,1.0,1.0
3024,3708,200501CW11523,1,5,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,69.17143680088031,33.99413601174904,782.0,1.0,,7.0,1.0
22258,28520,200501RY10261,1,9,0.0,18,0,8.0,0.0,7.0,7.0,1.0,4.0,1.0,15.0,2,48.171436800880315,23.994136011749042,1299.0,1.0,10.0,3.0,2.0
17723,22732,200501PY20012,1,9,0.0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,45.171436800880315,18.994136011749042,1870.0,2.0,1.0,8.0,2.0
29191,37390,200501VW40332,2,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,82.17143680088031,38.99413601174904,,,,4.0,1.0
13968,17896,200501LX50415,1,5,0.0,9,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,42.171436800880315,18.994136011749042,625.0,1.0,7.0,6.0,1.0
36522,46943,200501ZD31094,2,18,0.0,18,1,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1,53.171436800880315,23.994136011749042,,,,3.0,1.0
32835,42081,200501XH30561,1,9,0.0,2,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,66.17143680088031,28.994136011749042,1870.0,2.0,3.0,9.0,3.0
12933,16578,200501KF69063,3,9,0.0,4,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,69.17143680088031,33.99413601174904,1896.0,2.0,,7.0,3.0
25742,33137,200501TD09010,2,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,69.17143680088031,33.99413601174904,2800.0,1.0,4.0,8.0,3.0
22744,29140,200501SX00025,2,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,50.171436800880315,23.994136011749042,1783.0,1.0,8.0,1.0,1.0
29606,37903,200501WW50037,2,9,0.0,3,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,2,53.171436800880315,23.994136011749042,1396.0,1.0,3.0,2.0,1.0
15328,19643,200501MM70155,1,5,0.0,9,0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,1,51.171436800880315,23.994136011749042,,,,3.0,1.0
37763,48466,2005030000106,1,9,0.0,18,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,2,41.171436800880315,13.994136011749042,1124.0,1.0,10.0,10.0,1.0
