,Unnamed: 0,Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Driving_Experience,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
12233,15605,200501KF60311,1,11,0.0,18,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,51.97936564625467,17.75337295929692,8268.0,2.0,4.0,,
5228,6527,200501EO41379,3,9,0.0,2,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,58.97936564625467,22.753372959296918,1796.0,1.0,4.0,3.0,1.0
36482,46888,200501ZD31056,2,9,0.0,2,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,2,71.97936564625468,27.753372959296918,1390.0,1.0,6.0,5.0,1.0
30475,39008,200501WW50763,1,11,0.0,5,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,64.97936564625468,22.753372959296918,,,,,
28864,36965,200501VW40070,1,9,0.0,18,0,0.0,0.0,4.0,1.0,10.0,3.0,1.0,15.0,1,58.97936564625467,22.753372959296918,1870.0,2.0,3.0,3.0,1.0
39092,49881,2005030001986,2,9,0.0,9,0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,73.97936564625468,27.753372959296918,1360.0,1.0,16.0,1.0,2.0
18607,23835,200501PY20741,3,1,0.0,18,0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,84.97936564625468,32.75337295929692,,,,8.0,1.0
15778,20204,200501MM70680,1,1,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,68.97936564625468,27.753372959296918,,,,2.0,1.0
204,241,200501BS70128,2,1,0.0,18,0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,2,49.97936564625467,17.75337295929692,,,,7.0,1.0
3760,4690,200501EO40185,2,19,0.0,18,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,62.97936564625467,22.753372959296918,2295.0,7.0,2.0,3.0,1.0
18834,24126,200501PY20948,1,8,0.0,6,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,82.97936564625468,32.75337295929692,,,,5.0,1.0
38604,49364,2005030001340,1,19,0.0,5,0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,1,84.97936564625468,32.75337295929692,2188.0,2.0,4.0,7.0,3.0
10407,13316,200501JI40644,1,9,0.0,4,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,2,63.97936564625467,22.753372959296918,1242.0,1.0,1.0,10.0,1.0
38605,49365,2005030001341,1,9,0.0,16,0,0.0,2.0,10.0,1.0,9.0,1.0,1.0,2.0,1,58.97936564625467,22.753372959296918,1598.0,1.0,5.0,1.0,1.0
31708,40659,200501XD80868,1,11,0.0,7,0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,55.97936564625467,22.753372959296918,8268.0,2.0,,7.0,1.0
32731,41961,200501XH30483,1,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,43.97936564625467,12.753372959296922,,,,7.0,2.0
27636,35466,200501TX20435,2,9,0.0,7,0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,2,58.97936564625467,22.753372959296918,1390.0,2.0,2.0,8.0,1.0
20850,26763,200501RG40011,2,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,58.97936564625467,22.753372959296918,1796.0,1.0,12.0,1.0,1.0
3660,4575,200501EO40095,1,21,0.0,7,0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,1,76.97936564625468,32.75337295929692,,,,6.0,1.0
25546,32887,200501TD00120,1,9,0.0,9,0,8.0,1.0,0.0,1.0,10.0,0.0,1.0,15.0,1,66.97936564625468,27.753372959296918,,,,6.0,1.0
34073,43690,200501YE80741,2,9,0.0,12,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,2,60.97936564625467,22.753372959296918,1590.0,1.0,9.0,4.0,1.0
7325,9242,200501GD11022,1,9,0.0,9,0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,66.97936564625468,27.753372959296918,1753.0,2.0,11.0,2.0,1.0
15284,19587,200501MM70117,2,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,50.97936564625467,17.75337295929692,1124.0,1.0,11.0,,
31348,40176,200501XD80575,1,9,0.0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,64.97936564625468,22.753372959296918,1397.0,1.0,3.0,5.0,1.0
18934,24250,200501PY29083,2,9,0.0,3,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2,64.97936564625468,22.753372959296918,1242.0,1.0,3.0,10.0,1.0
8784,11133,200501JC30191,1,3,0.0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,52.97936564625467,17.75337295929692,,,,2.0,1.0
594,728,200501BS70419,1,3,0.0,2,0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,48.97936564625467,17.75337295929692,125.0,1.0,2.0,2.0,1.0
29221,37424,200501VW40357,1,9,0.0,10,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,74.97936564625468,27.753372959296918,2200.0,1.0,6.0,8.0,1.0
8027,10149,200501HT20547,1,9,0.0,9,0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,1,43.97936564625467,12.753372959296922,,,,7.0,1.0
32330,41464,200501XH30165,2,9,0.0,4,0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,2,54.97936564625467,17.75337295929692,1600.0,1.0,6.0,5.0,1.0
4427,5528,200501EO40737,1,3,0.0,13,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,54.97936564625467,17.75337295929692,125.0,1.0,2.0,7.0,1.0
7621,9637,200501HT20208,1,9,0.0,18,0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,1,50.97936564625467,17.75337295929692,1781.0,1.0,8.0,2.0,1.0
24093,30924,200501SX21042,2,9,0.0,3,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,2,70.97936564625468,27.753372959296918,1762.0,1.0,6.0,8.0,1.0
787,969,200501BS70576,1,9,0.0,3,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,83.97936564625468,32.75337295929692,1396.0,1.0,8.0,6.0,1.0
34896,44799,200501YR90333,1,9,0.0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,61.97936564625467,22.753372959296918,1984.0,1.0,4.0,5.0,1.0
12260,15643,200501KF60336,1,11,0.0,15,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,74.97936564625468,27.753372959296918,5883.0,2.0,4.0,,
9751,12441,200501JI40124,3,9,0.0,3,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,69.97936564625468,27.753372959296918,1995.0,1.0,6.0,4.0,1.0
31586,40494,200501XD80761,1,9,0.0,18,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,2,83.97936564625468,32.75337295929692,1986.0,1.0,17.0,6.0,2.0
20558,26399,200501QK50686,2,1,0.0,18,0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,2,36.97936564625467,7.753372959296922,,,,1.0,1.0
5597,6994,200501FH10142,1,1,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,42.97936564625467,12.753372959296922,,,,7.0,1.0
19117,24484,200501QA10104,1,1,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,49.97936564625467,17.75337295929692,,,,7.0,1.0
8797,11150,200501JC30205,1,9,0.0,18,0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,2,71.97936564625468,27.753372959296918,,,,4.0,1.0
18413,23587,200501PY20578,2,9,0.0,11,0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,1,68.97936564625468,27.753372959296918,2979.0,1.0,1.0,,
35061,45028,200501YR90494,2,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,1,42.97936564625467,12.753372959296922,1600.0,1.0,6.0,,
36892,47409,200501ZD31400,1,19,0.0,18,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,49.97936564625467,17.75337295929692,1870.0,2.0,2.0,6.0,1.0
710,865,200501BS70507,1,4,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,62.97936564625467,22.753372959296918,499.0,1.0,7.0,6.0,1.0
28093,36021,200501TX20759,1,19,0.0,7,0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,72.97936564625468,27.753372959296918,2299.0,2.0,7.0,2.0,1.0
13406,17169,200501KG70379,1,5,0.0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1,65.97936564625468,27.753372959296918,,,,8.0,1.0
14684,18823,200501LX51045,2,1,0.0,11,0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,2,42.97936564625467,12.753372959296922,,,,,
11973,15262,200501KF60087,1,11,0.0,18,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,68.97936564625468,27.753372959296918,8268.0,2.0,4.0,5.0,1.0
31707,40658,200501XD80866,1,9,0.0,11,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,53.97936564625467,17.75337295929692,1781.0,1.0,4.0,7.0,1.0
17212,22066,200501PL60677,1,9,0.0,9,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,2,42.97936564625467,12.753372959296922,,,,3.0,1.0
38281,49021,2005030000857,2,9,0.0,18,0,0.0,2.0,0.0,7.0,4.0,0.0,1.0,15.0,1,37.97936564625467,7.753372959296922,1199.0,1.0,7.0,7.0,2.0
37033,47592,200501ZT80083,1,9,0.0,18,0,8.0,5.0,0.0,7.0,4.0,1.0,1.0,15.0,2,43.97936564625467,12.753372959296922,1390.0,1.0,1.0,,
6811,8545,200501GD10534,1,1,0.0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,49.97936564625467,17.75337295929692,,,,3.0,1.0
19499,24995,200501QA10436,1,9,0.0,4,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,48.97936564625467,17.75337295929692,1598.0,1.0,2.0,2.0,1.0
23220,29775,200501SX20309,1,9,0.0,8,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,70.97936564625468,27.753372959296918,1360.0,1.0,7.0,6.0,1.0
23230,29791,200501SX20321,2,3,0.0,18,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,37.97936564625467,7.753372959296922,124.0,1.0,4.0,4.0,1.0
13346,17088,200501KG70327,2,19,0.0,1,0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,63.97936564625467,22.753372959296918,2496.0,2.0,11.0,1.0,1.0
25205,32415,200501TC00261,2,9,0.0,18,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1,65.97936564625468,27.753372959296918,1108.0,1.0,10.0,4.0,1.0
9002,11422,200501JC30383,1,9,0.0,3,0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,2,71.97936564625468,27.753372959296918,1596.0,1.0,1.0,9.0,1.0
33096,42398,200501XH30747,1,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,48.97936564625467,17.75337295929692,1795.0,1.0,7.0,9.0,1.0
29355,37585,200501VW40458,3,8,0.0,18,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,53.97936564625467,17.75337295929692,,,,7.0,1.0
36123,46423,200501ZD30756,3,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,3,63.97936564625467,22.753372959296918,1598.0,1.0,15.0,6.0,1.0
26852,34493,200501TW60404,1,9,0.0,18,0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1,71.97936564625468,27.753372959296918,1461.0,2.0,2.0,9.0,2.0
27391,35160,200501TX20251,1,9,0.0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,43.97936564625467,12.753372959296922,1389.0,1.0,13.0,4.0,1.0
6758,8475,200501GD10484,1,9,0.0,4,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,65.97936564625468,27.753372959296918,1590.0,1.0,13.0,4.0,1.0
19956,25595,200501QK50184,1,9,0.0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,43.97936564625467,12.753372959296922,,,,1.0,1.0
6540,8199,200501GD10284,1,9,0.0,18,0,1.0,0.0,10.0,7.0,2.0,4.0,1.0,15.0,1,38.97936564625467,7.753372959296922,1493.0,1.0,9.0,2.0,1.0
27349,35110,200501TX20217,2,1,0.0,18,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,2,32.97936564625467,2.75337295929692,,,,3.0,1.0
11492,14649,200501KD50501,1,9,0.0,18,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,54.97936564625467,17.75337295929692,1388.0,1.0,1.0,6.0,1.0
33375,42762,200501YE80139,1,9,0.0,17,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,65.97936564625468,27.753372959296918,1086.0,1.0,1.0,1.0,1.0
33204,42540,200501XH30836,1,11,0.0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,62.97936564625467,22.753372959296918,3900.0,2.0,2.0,6.0,1.0
3478,4327,200501EO00059,1,1,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,45.97936564625467,17.75337295929692,,,,2.0,1.0
9398,11973,200501JC30722,1,9,0.0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,85.97936564625468,37.75337295929692,1242.0,1.0,6.0,2.0,1.0
31208,39981,200501XD80453,1,9,0.0,9,0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,67.97936564625468,27.753372959296918,1360.0,1.0,2.0,4.0,1.0
31469,40342,200501XD80673,2,21,0.0,18,0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1,54.97936564625467,17.75337295929692,,,,,
34463,44205,200501YE81055,1,9,0.0,4,0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,1,68.97936564625468,27.753372959296918,,,,2.0,1.0
14379,18413,200501LX50751,1,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,1,60.97936564625467,22.753372959296918,2295.0,1.0,7.0,2.0,1.0
20179,25889,200501QK50372,1,1,0.0,7,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,40.97936564625467,12.753372959296922,,,,6.0,1.0
33748,43250,200501YE80470,1,19,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,62.97936564625467,22.753372959296918,2148.0,2.0,,8.0,2.0
23700,30409,200501SX20712,1,9,0.0,3,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,1,43.97936564625467,12.753372959296922,2597.0,1.0,4.0,3.0,1.0
33690,43178,200501YE80421,2,9,0.0,6,0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0,1,59.97936564625467,22.753372959296918,2300.0,1.0,19.0,3.0,1.0
749,918,200501BS70542,2,3,0.0,18,0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,44.97936564625467,12.753372959296922,,,,9.0,1.0
3277,4055,200501CW11830,1,11,0.0,18,0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1,64.97936564625468,22.753372959296918,7300.0,2.0,2.0,3.0,1.0
30107,38534,200501WW50450,1,5,0.0,18,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,38.97936564625467,7.753372959296922,599.0,1.0,4.0,3.0,1.0
4417,5513,200501EO40728,1,5,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,44.97936564625467,12.753372959296922,645.0,1.0,1.0,7.0,1.0
5493,6855,200501FH10042,1,11,0.0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,58.97936564625467,22.753372959296918,8268.0,2.0,2.0,,
23810,30553,200501SX20802,1,9,0.0,18,0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,1,47.97936564625467,17.75337295929692,1242.0,1.0,5.0,8.0,1.0
29013,37171,200501VW40198,1,9,0.0,18,0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,82.97936564625468,32.75337295929692,1587.0,1.0,12.0,4.0,1.0
8280,10485,200501HT20761,2,9,0.0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,2,35.97936564625467,7.753372959296922,1999.0,1.0,4.0,5.0,1.0
